Player,id,link,Opponent,GP,G,A,PTS,GW
Mitch Marner,marnemi01,/players/g/granlmi01.html,Anaheim Ducks,15,2,13,15,0
Mitch Marner,marnemi01,/players/g/granlmi01.html,Arizona Coyotes,12,3,8,11,0
Mitch Marner,marnemi01,/players/g/granlmi01.html,Boston Bruins,28,13,33,46,3
Mitch Marner,marnemi01,/players/g/granlmi01.html,Buffalo Sabres,27,7,27,34,2
Mitch Marner,marnemi01,/players/g/granlmi01.html,Calgary Flames,23,8,10,18,3
Mitch Marner,marnemi01,/players/g/granlmi01.html,Carolina Hurricanes,19,8,11,19,3
Mitch Marner,marnemi01,/players/g/granlmi01.html,Chicago Blackhawks,14,2,10,12,0
Mitch Marner,marnemi01,/players/g/granlmi01.html,Colorado Avalanche,12,3,9,12,0
Mitch Marner,marnemi01,/players/g/granlmi01.html,Columbus Blue Jackets,21,8,18,26,2
Mitch Marner,marnemi01,/players/g/granlmi01.html,Dallas Stars,16,4,17,21,1
Mitch Marner,marnemi01,/players/g/granlmi01.html,Detroit Red Wings,27,18,17,35,3
Mitch Marner,marnemi01,/players/g/granlmi01.html,Edmonton Oilers,23,9,19,28,2
Mitch Marner,marnemi01,/players/g/granlmi01.html,Florida Panthers,27,13,23,36,0
Mitch Marner,marnemi01,/players/g/granlmi01.html,Los Angeles Kings,15,2,11,13,0
Mitch Marner,marnemi01,/players/g/granlmi01.html,Minnesota Wild,15,4,12,16,0
Mitch Marner,marnemi01,/players/g/granlmi01.html,Montreal Canadiens,37,7,31,38,1
Mitch Marner,marnemi01,/players/g/granlmi01.html,Nashville Predators,14,6,11,17,1
Mitch Marner,marnemi01,/players/g/granlmi01.html,New Jersey Devils,22,7,17,24,0
Mitch Marner,marnemi01,/players/g/granlmi01.html,New York Islanders,22,10,11,21,1
Mitch Marner,marnemi01,/players/g/granlmi01.html,New York Rangers,22,9,12,21,3
Mitch Marner,marnemi01,/players/g/granlmi01.html,Ottawa Senators,37,13,27,40,1
Mitch Marner,marnemi01,/players/g/granlmi01.html,Philadelphia Flyers,20,4,19,23,1
Mitch Marner,marnemi01,/players/g/granlmi01.html,Pittsburgh Penguins,23,6,19,25,1
Mitch Marner,marnemi01,/players/g/granlmi01.html,San Jose Sharks,15,7,13,20,0
Mitch Marner,marnemi01,/players/g/granlmi01.html,Seattle Kraken,8,5,10,15,1
Mitch Marner,marnemi01,/players/g/granlmi01.html,St. Louis Blues,15,3,11,14,0
Mitch Marner,marnemi01,/players/g/granlmi01.html,Tampa Bay Lightning,26,8,22,30,1
Mitch Marner,marnemi01,/players/g/granlmi01.html,Utah Hockey Club,1,2,0,2,0
Mitch Marner,marnemi01,/players/g/granlmi01.html,Vancouver Canucks,25,4,18,22,1
Mitch Marner,marnemi01,/players/g/granlmi01.html,Vegas Golden Knights,11,4,10,14,2
Mitch Marner,marnemi01,/players/g/granlmi01.html,Washington Capitals,21,4,13,17,0
Mitch Marner,marnemi01,/players/g/granlmi01.html,Winnipeg Jets,23,9,21,30,3
William Nylander,nylanwi01,/players/g/granlmi01.html,Anaheim Ducks,14,8,10,18,1
William Nylander,nylanwi01,/players/g/granlmi01.html,Arizona Coyotes,14,7,7,14,1
William Nylander,nylanwi01,/players/g/granlmi01.html,Boston Bruins,29,7,11,18,1
William Nylander,nylanwi01,/players/g/granlmi01.html,Buffalo Sabres,32,10,18,28,1
William Nylander,nylanwi01,/players/g/granlmi01.html,Calgary Flames,23,11,18,29,3
William Nylander,nylanwi01,/players/g/granlmi01.html,Carolina Hurricanes,21,5,9,14,0
William Nylander,nylanwi01,/players/g/granlmi01.html,Chicago Blackhawks,15,9,11,20,2
William Nylander,nylanwi01,/players/g/granlmi01.html,Colorado Avalanche,14,1,10,11,0
William Nylander,nylanwi01,/players/g/granlmi01.html,Columbus Blue Jackets,21,8,10,18,1
William Nylander,nylanwi01,/players/g/granlmi01.html,Dallas Stars,14,6,8,14,2
William Nylander,nylanwi01,/players/g/granlmi01.html,Detroit Red Wings,30,9,13,22,0
William Nylander,nylanwi01,/players/g/granlmi01.html,Edmonton Oilers,25,11,15,26,1
William Nylander,nylanwi01,/players/g/granlmi01.html,Florida Panthers,31,7,12,19,2
William Nylander,nylanwi01,/players/g/granlmi01.html,Los Angeles Kings,13,5,8,13,1
William Nylander,nylanwi01,/players/g/granlmi01.html,Minnesota Wild,16,9,6,15,4
William Nylander,nylanwi01,/players/g/granlmi01.html,Montreal Canadiens,35,18,13,31,3
William Nylander,nylanwi01,/players/g/granlmi01.html,Nashville Predators,14,5,7,12,2
William Nylander,nylanwi01,/players/g/granlmi01.html,New Jersey Devils,23,9,9,18,3
William Nylander,nylanwi01,/players/g/granlmi01.html,New York Islanders,24,9,14,23,1
William Nylander,nylanwi01,/players/g/granlmi01.html,New York Rangers,23,8,12,20,1
William Nylander,nylanwi01,/players/g/granlmi01.html,Ottawa Senators,38,13,19,32,2
William Nylander,nylanwi01,/players/g/granlmi01.html,Philadelphia Flyers,23,12,12,24,3
William Nylander,nylanwi01,/players/g/granlmi01.html,Pittsburgh Penguins,22,9,6,15,1
William Nylander,nylanwi01,/players/g/granlmi01.html,San Jose Sharks,13,3,13,16,0
William Nylander,nylanwi01,/players/g/granlmi01.html,Seattle Kraken,8,3,6,9,1
William Nylander,nylanwi01,/players/g/granlmi01.html,St. Louis Blues,15,7,4,11,3
William Nylander,nylanwi01,/players/g/granlmi01.html,Tampa Bay Lightning,31,15,13,28,3
William Nylander,nylanwi01,/players/g/granlmi01.html,Utah Hockey Club,1,1,1,2,1
William Nylander,nylanwi01,/players/g/granlmi01.html,Vancouver Canucks,25,5,13,18,0
William Nylander,nylanwi01,/players/g/granlmi01.html,Vegas Golden Knights,12,4,7,11,0
William Nylander,nylanwi01,/players/g/granlmi01.html,Washington Capitals,22,8,9,17,1
William Nylander,nylanwi01,/players/g/granlmi01.html,Winnipeg Jets,23,10,14,24,2
Auston Matthews,matthau01,/players/g/granlmi01.html,Anaheim Ducks,14,10,9,19,1
Auston Matthews,matthau01,/players/g/granlmi01.html,Arizona Coyotes,14,8,1,9,2
Auston Matthews,matthau01,/players/g/granlmi01.html,Boston Bruins,22,14,13,27,3
Auston Matthews,matthau01,/players/g/granlmi01.html,Buffalo Sabres,28,20,11,31,2
Auston Matthews,matthau01,/players/g/granlmi01.html,Calgary Flames,23,10,13,23,4
Auston Matthews,matthau01,/players/g/granlmi01.html,Carolina Hurricanes,19,11,6,17,1
Auston Matthews,matthau01,/players/g/granlmi01.html,Chicago Blackhawks,16,8,13,21,2
Auston Matthews,matthau01,/players/g/granlmi01.html,Colorado Avalanche,14,10,7,17,1
Auston Matthews,matthau01,/players/g/granlmi01.html,Columbus Blue Jackets,17,14,9,23,1
Auston Matthews,matthau01,/players/g/granlmi01.html,Dallas Stars,13,11,6,17,2
Auston Matthews,matthau01,/players/g/granlmi01.html,Detroit Red Wings,25,18,15,33,7
Auston Matthews,matthau01,/players/g/granlmi01.html,Edmonton Oilers,20,13,10,23,2
