Team,Stat,Category
Cleveland Cavaliers* (1),121.9,Points Scored Per Game
Memphis Grizzlies* (8),121.7,Points Scored Per Game
Denver Nuggets* (4),120.8,Points Scored Per Game
Oklahoma City Thunder* (1),120.5,Points Scored Per Game
Atlanta Hawks* (8),118.2,Points Scored Per Game
Chicago Bulls* (9),117.8,Points Scored Per Game
Indiana Pacers* (4),117.4,Points Scored Per Game
Boston Celtics* (2),116.3,Points Scored Per Game
New York Knicks* (3),115.8,Points Scored Per Game
Sacramento Kings* (9),115.7,Points Scored Per Game
Orlando Magic* (7),105.5,Points Allowed Per Game
Boston Celtics* (2),107.2,Points Allowed Per Game
Oklahoma City Thunder* (1),107.6,Points Allowed Per Game
Los Angeles Clippers* (5),108.2,Points Allowed Per Game
Minnesota Timberwolves* (6),109.3,Points Allowed Per Game
Houston Rockets* (2),109.8,Points Allowed Per Game
Miami Heat* (10),110.0,Points Allowed Per Game
Golden State Warriors* (7),110.5,Points Allowed Per Game
New York Knicks* (3),111.7,Points Allowed Per Game
Brooklyn Nets (12),112.2,Points Allowed Per Game
