"","DistrictName","WithDTP","WithPolio","WithMMR","WithHepB","PctUpToDate","DistrictComplete","PctBeliefExempt","PctMedicalExempt","PctChildPoverty","PctFamilyPoverty","PctFreeMeal","Enrolled","TotalSchools"
"510","Waterford Unified",70,70,70,70,70,TRUE,29,0,22,14,40,337,2
"318","Greenfield Union Elementary",100,100,100,100,100,TRUE,0,0,36,16,76,394,3
"37","Spencer Valley Elementary",63,63,63,63,63,TRUE,37,0,23,5,39,171,1
"529","Ripon Unified",92,92,92,92,92,TRUE,8,0,13,7,NA,265,6
"249","Taft City",96,96,97,97,94,TRUE,0,2,33,17,73,315,4
"798","Garfield Elementary",82,82,82,82,82,TRUE,18,0,20,14,17,11,1
"456","Berryessa Union Elementary",98,98,99,99,97,TRUE,0,0,12,7,NA,781,10
"59","Newport-Mesa Unified",88,89,88,92,85,TRUE,6,0,16,8,NA,1706,21
"115","Downey Unified",96,97,96,98,94,TRUE,0,0,21,10,NA,1197,11
"686","Anderson Valley Unified",79,84,86,91,79,TRUE,0,0,36,19,73,43,1
"807","Blue Lake Union Elementary",85,95,60,90,55,TRUE,0,0,13,10,40,20,1
"567","Lincoln Unified",97,97,97,98,96,TRUE,1,1,18,10,55,594,8
"30","Ramona City Unified",90,90,90,93,87,TRUE,5,0,12,6,37,427,6
"190","Ventura Unified",85,85,85,93,82,TRUE,5,0,15,8,NA,1341,17
"229","Gorman Elementary",55,56,71,64,53,TRUE,26,0,5,0,NA,140,1
"222","Buellton Union Elementary",88,88,88,87,87,TRUE,12,0,7,4,NA,86,1
"108","Riverside Unified",95,95,95,97,93,TRUE,1,0,21,11,57,3226,30
"169","Oxnard Union High",86,86,86,90,85,TRUE,2,5,18,10,NA,59,1
"577","Belleview Elementary",80,80,80,80,80,TRUE,20,0,13,9,NA,20,1
"6","Coronado Unified",83,83,81,84,77,TRUE,7,0,8,5,5,202,2
"331","Carmel Unified",82,84,74,81,66,TRUE,11,0,15,4,12,175,3
"334","Hanford Elementary",98,98,99,99,98,TRUE,1,0,30,17,72,762,9
"142","Ontario-Montclair",97,97,97,99,96,TRUE,1,0,31,16,79,2925,26
"181","Pleasant Valley",91,91,93,95,90,TRUE,5,0,10,4,NA,816,10
"723","Bangor Union Elementary",94,94,94,94,94,TRUE,6,0,22,19,76,16,1
