"","SCHOOL.CODE","PUBLIC..PRIVATE","Public.School.District.ID","PUBLIC.SCHOOL.DISTRICT","CITY","COUNTY","SCHOOL.NAME","ENROLLMENT","UP_TO_DATE","CONDITIONAL","PME","PBE_BETA","DTP","POLIO","MMR","HEPB","VARICELLA","REPORTED","DTP_Perc","POLIO_Perc","MMR_Perc","HEPB_Perc","UP_TO_DATE_Perc","CONDITIONAL_Perc"
"1",6022743,"PUBLIC","600001","ACTON-AGUA DULCE UNIFIED","AGUA DULCE","LOS ANGELES","AGUA DULCE ELEMENTARY",19,17,1,0,1,17,17,17,17,18,"Y",89.4736842105263,89.4736842105263,89.4736842105263,89.4736842105263,89.4736842105263,5.26315789473684
"2",6115679,"PUBLIC","600001","ACTON-AGUA DULCE UNIFIED","ACTON","LOS ANGELES","MEADOWLARK ELEMENTARY",60,43,8,0,9,46,44,48,51,51,"Y",76.6666666666667,73.3333333333333,80,85,71.6666666666667,13.3333333333333
"3",131763,"PUBLIC","600003","CALIFORNIA SCHOOL FOR THE DEAF-FREMONT (STATE SPECIAL SCHL)","FREMONT","ALAMEDA","CALIFORNIA SCHOOL FOR THE DEAF-FREMONT",11,9,1,0,1,10,9,10,10,10,"Y",90.9090909090909,81.8181818181818,90.9090909090909,90.9090909090909,81.8181818181818,9.09090909090909
"4",124578,"PUBLIC","600006","ROSS VALLEY ELEMENTARY","SAN ANSELMO","MARIN","HIDDEN VALLEY ELEMENTARY",54,48,0,0,6,48,48,48,48,48,"Y",88.8888888888889,88.8888888888889,88.8888888888889,88.8888888888889,88.8888888888889,0
"5",6024277,"PUBLIC","600006","ROSS VALLEY ELEMENTARY","FAIRFAX","MARIN","MANOR ELEMENTARY",65,52,0,0,13,52,52,52,52,52,"Y",80,80,80,80,80,0
"6",6024681,"PUBLIC","600006","ROSS VALLEY ELEMENTARY","SAN ANSELMO","MARIN","BROOKSIDE ELEMENTARY",57,51,0,0,6,51,51,51,51,51,"Y",89.4736842105263,89.4736842105263,89.4736842105263,89.4736842105263,89.4736842105263,0
"7",6024731,"PUBLIC","600006","ROSS VALLEY ELEMENTARY","SAN ANSELMO","MARIN","WADE THOMAS ELEMENTARY",96,74,6,0,16,78,78,78,78,80,"Y",81.25,81.25,81.25,81.25,77.0833333333333,6.25
"8",3330834,"PUBLIC","600007","CALIFORNIA SCHOOL FOR THE DEAF-RIVERSIDE (STATE SPECIAL SCHL)","RIVERSIDE","RIVERSIDE","CALIFORNIA SCHOOL FOR THE DEAF-RIVERSIDE",11,10,0,0,1,10,10,10,10,10,"Y",90.9090909090909,90.9090909090909,90.9090909090909,90.9090909090909,90.9090909090909,0
"9",6045389,"PUBLIC","600009","CUYAMA JOINT UNIFIED","NEW CUYAMA","SANTA BARBARA","CUYAMA ELEMENTARY",23,22,0,0,1,22,22,22,22,22,"Y",95.6521739130435,95.6521739130435,95.6521739130435,95.6521739130435,95.6521739130435,0
"10",6096341,"PUBLIC","600011","FORT SAGE UNIFIED","HERLONG","LASSEN","SIERRA PRIMARY",13,9,4,0,0,9,10,10,12,13,"Y",69.2307692307692,76.9230769230769,76.9230769230769,92.3076923076923,69.2307692307692,30.7692307692308
