Rank,Conference,Rating,Season
1,Big 12,0.57,2024
2,SEC,0.563,2024
3,Big Ten,0.561,2024
4,MWC,0.557,2024
5,ACC,0.55,2024
6,Big East,0.547,2024
7,A-10,0.54,2024
8,Pac-12,0.54,2024
9,MVC,0.524,2024
10,AAC,0.519,2024
11,Ivy,0.512,2024
12,Southern,0.501,2024
13,WCC,0.499,2024
14,AEC,0.492,2024
15,WAC,0.492,2024
16,Big West,0.486,2024
17,CUSA,0.486,2024
18,Sun Belt,0.484,2024
19,CAA,0.484,2024
20,Big South,0.482,2024
21,Big Sky,0.48,2024
22,MAC,0.477,2024
23,Horizon,0.474,2024
24,MAAC,0.473,2024
25,A-Sun,0.461,2024
26,Summit,0.457,2024
27,Ind,0.455,2024
28,OVC,0.451,2024
29,Southland,0.444,2024
30,SWAC,0.438,2024
31,Patriot,0.427,2024
32,NEC,0.426,2024
33,MEAC,0.421,2024
1,Big 12,0.584,2023
2,SEC,0.564,2023
3,Big Ten,0.556,2023
4,MWC,0.554,2023
5,Big East,0.542,2023
6,ACC,0.539,2023
7,Pac-12,0.532,2023
8,WCC,0.529,2023
9,CUSA,0.526,2023
10,AAC,0.524,2023
11,A-10,0.515,2023
12,WAC,0.509,2023
13,MVC,0.504,2023
14,Sun Belt,0.503,2023
15,Ivy,0.502,2023
16,A-Sun,0.499,2023
17,Big West,0.482,2023
18,Summit,0.479,2023
19,MAC,0.479,2023
20,MAAC,0.477,2023
21,AEC,0.476,2023
22,CAA,0.476,2023
23,Southern,0.471,2023
24,Horizon,0.468,2023
25,Big Sky,0.467,2023
26,Big South,0.464,2023
27,MEAC,0.462,2023
28,Patriot,0.462,2023
29,OVC,0.45,2023
30,Southland,0.437,2023
31,SWAC,0.426,2023
32,NEC,0.424,2023
33,Ind,0.39,2023
1,Big 12,0.58,2022
2,Big East,0.564,2022
3,SEC,0.563,2022
4,Big Ten,0.559,2022
5,MWC,0.541,2022
6,Pac-12,0.541,2022
7,ACC,0.538,2022
8,AAC,0.531,2022
9,WCC,0.528,2022
10,A-10,0.52,2022
11,Southern,0.513,2022
12,CAA,0.503,2022
13,MAAC,0.5,2022
14,CUSA,0.498,2022
15,MVC,0.495,2022
16,Sun Belt,0.492,2022
17,WAC,0.489,2022
18,MAC,0.481,2022
19,Big West,0.474,2022
20,Ivy,0.473,2022
21,Summit,0.467,2022
22,Big Sky,0.467,2022
23,OVC,0.463,2022
24,AEC,0.461,2022
25,A-Sun,0.46,2022
26,Big South,0.455,2022
27,Horizon,0.449,2022
28,Patriot,0.445,2022
29,NEC,0.443,2022
30,MEAC,0.432,2022
31,Southland,0.431,2022
32,SWAC,0.425,2022
1,Big 12,0.566,2021
2,Big Ten,0.553,2021
3,SEC,0.548,2021
4,WCC,0.543,2021
5,Pac-12,0.538,2021
6,Big East,0.537,2021
7,ACC,0.537,2021
8,AAC,0.531,2021
9,Southern,0.516,2021
10,MWC,0.51,2021
11,A-10,0.507,2021
12,MVC,0.504,2021
13,Patriot,0.504,2021
14,CUSA,0.5,2021
15,MAAC,0.493,2021
16,Sun Belt,0.493,2021
17,NEC,0.485,2021
18,MAC,0.485,2021
19,CAA,0.479,2021
20,Big West,0.476,2021
21,Horizon,0.474,2021
22,OVC,0.471,2021
23,AEC,0.468,2021
24,Big Sky,0.465,2021
25,Big South,0.457,2021
26,A-Sun,0.452,2021
27,WAC,0.444,2021
28,SWAC,0.44,2021
29,Southland,0.439,2021
30,Summit,0.437,2021
31,MEAC,0.352,2021
32,Ivy,--,2021
1,Big 12,0.588,2019
2,Big Ten,0.568,2019
3,ACC,0.567,2019
4,SEC,0.565,2019
5,Big East,0.556,2019
6,AAC,0.547,2019
7,Pac-12,0.531,2019
8,WCC,0.527,2019
9,MAC,0.523,2019
10,Ivy,0.514,2019
11,A-10,0.5,2019
