Season,TeamName,Tempo,RankTempo,AdjTempo,RankAdjTempo,OE,RankOE,AdjOE,RankAdjOE,DE,RankDE,AdjDE,RankAdjDE,AdjEM,RankAdjEM,seed
2024,Abilene Christian,70.536,65,68.568,114,99.0523,294,101.657,259,103.331,126,105.601,163,-3.94377,209,
2024,Air Force,63.4044,355,61.9052,359,103.451,219,106.062,178,113.982,346,113.186,322,-7.12408,261,
2024,Akron,66.7263,273,66.02,271,107.361,130,106.781,164,100.275,54,102.14,98,4.64076,122,14
2024,Alabama,74.335,6,72.9246,8,121.389,2,125.111,4,107.597,247,102.31,101,22.8014,14,4
2024,Alabama A&M,71.7111,39,70.6173,42,95.9575,331,94.2041,346,104.979,178,108.554,222,-14.3499,324,
2024,Alabama State,69.0655,137,67.192,199,93.9542,347,93.0343,352,100.59,61,105.306,156,-12.2714,310,
2024,Albany (NY),74.333,7,73.1085,6,104.457,199,105.234,197,106.215,214,111.139,282,-5.90527,245,
2024,Alcorn State,68.329,188,66.4906,247,105.142,183,106.427,171,113.272,341,116.552,354,-10.1256,293,
2024,American,62.915,359,62.8562,355,106.303,150,103.482,227,106.857,227,113.943,334,-10.461,296,
2024,Appalachian State,68.6858,158,67.0409,212,109.532,93,108.431,135,97.3208,18,98.517,39,9.9136,84,
2024,Arizona,73.471,10,72.1871,16,117.136,13,120.666,9,96.4493,10,93.5054,10,27.1601,5,2
2024,Arizona State,70.5509,63,69.1749,83,97.504,316,104.028,217,104.597,172,100.007,63,4.02117,127,
2024,Arkansas,72.2026,26,70.8072,37,105.897,164,109.959,103,109.076,273,104.048,134,5.91052,109,
2024,Arkansas-Pine Bluff,73.0347,15,71.8795,18,103.856,213,102.209,250,114.427,352,118.906,360,-16.6965,331,
2024,Arkansas State,69.9627,93,68.0223,149,112.752,36,113.394,62,109.717,291,109.948,252,3.44603,133,
2024,Army,63.18,357,63.1216,352,93.7353,349,90.8157,357,102.933,114,109.863,248,-19.0473,345,
2024,Auburn,70.895,55,69.9339,58,117.177,12,120.413,10,96.3047,9,92.4011,5,28.0117,4,4
2024,Austin Peay,65.5753,325,64.7385,327,109.617,91,108.159,142,111.753,326,114.066,337,-5.90708,246,
2024,Ball State,67.4976,241,66.9411,221,105.289,177,102.938,241,106.606,220,110.774,271,-7.83609,266,
2024,Baylor,66.7204,275,65.7786,281,117.473,10,122.348,6,104.349,160,100.458,69,21.8891,15,3
2024,Bellarmine,66.4824,280,64.8816,318,100.636,272,100.313,279,114.394,351,113.401,330,-13.088,316,
2024,Belmont,71.9026,36,71.2906,29,107.452,126,109.324,113,105.414,190,104.041,133,5.28337,115,
2024,Bethune-Cookman,70.8346,57,69.8271,62,98.5352,304,97.9215,312,102.78,111,108.866,236,-10.9444,302,
2024,Binghamton,68.0898,201,66.3215,256,101.542,258,102.436,245,107.362,243,111.48,290,-9.04385,284,
2024,Boise State,66.3846,285,66.6272,242,110.354,68,113.462,60,100.804,68,97.2028,29,16.2594,42,10
2024,Boston College,67.6976,225,66.9597,218,108.7,109,113.706,56,105.482,193,102.445,102,11.261,72,
2024,Boston University,65.6953,320,65.8621,275,99.0878,293,98.2054,309,100.921,73,108.72,228,-10.5149,298,
2024,Bowling Green,68.5834,165,67.7384,161,104.158,207,102.351,247,103.486,135,107.876,210,-5.52491,239,
2024,Bradley,67.0006,265,66.3851,254,109.648,89,112.119,75,99.9642,47,99.9529,62,12.1665,64,
2024,Brown,67.6376,230,67.2289,197,102.79,233,104.223,216,105.751,199,106.712,185,-2.48902,189,
2024,Bryant,75.3787,2,74.2097,3,99.4465,291,101.047,268,98.7481,34,102.026,96,-0.979088,174,
2024,Bucknell,64.1487,352,64.8724,319,100.803,270,100.18,282,103.737,141,108.656,224,-8.47536,277,
2024,Buffalo,70.1324,83,69.1685,84,95.6487,333,95.3438,338,113.129,340,115.036,345,-19.6921,347,
2024,Butler,69.3125,125,68.5415,117,107.772,121,112.843,72,104.401,163,100.901,80,11.9421,66,
2024,BYU,69.9456,96,69.1682,85,116.413,16,119.751,13,100.111,51,99.7473,58,20.0038,19,6
2024,Cal Baptist,65.2943,333,63.6128,347,102.026,247,103.176,236,102.2,100,105.723,165,-2.54647,192,
2024,Cal Poly,66.5123,279,65.9161,272,93.7635,348,94.5615,343,110.692,307,112.293,309,-17.7316,339,
2024,Cal State Bakersfield,65.7488,318,64.8481,320,100.817,269,101.147,267,105.784,201,107.083,196,-5.93556,247,
2024,Cal State Fullerton,67.2869,256,66.4531,249,98.5792,303,100.084,286,103.967,149,105.411,158,-5.32646,234,
2024,Cal State Northridge,72.9858,16,72.653,13,100.842,268,100.131,284,101.742,88,105.447,159,-5.31607,233,
2024,California,69.768,100,68.5441,116,104.024,210,109.077,124,107.792,253,104.308,138,4.76922,118,
2024,Campbell,66.5348,277,66.632,240,101.984,248,100.627,276,109.499,286,112.966,320,-12.3385,311,
2024,Canisius,68.0699,203,66.9111,223,100.689,271,100.112,285,105.443,192,108.678,225,-8.5656,279,
2024,Central Arkansas,70.0705,88,69.2602,81,99.7642,283,97.1634,321,114.105,347,115.118,347,-17.9543,340,
2024,Central Connecticut State,67.4584,245,66.9477,220,103.78,216,100.964,270,100.67,63,108.434,220,-7.46961,263,
2024,Central Michigan,66.1632,299,65.0836,312,96.9844,324,96.5335,328,103.424,128,104.98,149,-8.44636,275,
2024,Charleston,70.1241,84,70.2124,51,114.45,20,113.902,54,104.987,179,106.396,178,7.50676,100,13
2024,Charleston Southern,67.5481,237,66.9142,222,94.942,338,95.4583,337,110.13,296,108.411,219,-12.9523,315,
2024,Charlotte,63.1816,356,62.4804,356,106.669,142,108.669,131,104.165,157,103.998,131,4.67011,121,
2024,Chattanooga,68.2132,194,67.028,216,111.391,51,110.406,100,105.954,207,107.856,209,2.55012,140,
2024,Chicago State,66.3425,290,64.5636,331,97.8826,310,100.216,281,107.615,248,110.393,259,-10.1768,294,
2024,Cincinnati,68.428,182,67.4636,181,107.833,119,111.924,79,98.6278,33,95.4415,16,16.4822,38,
2024,Clemson,67.6318,231,66.3061,257,113.356,33,117.498,24,103.795,143,98.4377,38,19.0603,23,6
2024,Cleveland State,68.5173,173,67.5023,176,108.276,113,106.129,176,106.778,224,108.773,230,-2.64374,194,
2024,Coastal Carolina,71.0887,52,69.5302,73,100.1,279,99.4679,296,110.853,312,112.231,305,-12.7636,313,
2024,Colgate,66.0426,304,66.34,255,106.324,149,104.784,205,98.2587,29,103.296,117,1.48814,150,14
2024,Colorado,69.0381,140,67.6099,168,113.64,30,118.37,21,102.736,108,99.2125,47,19.1576,22,10
2024,Colorado State,66.3451,289,66.0881,269,110.687,64,114.175,50,101.557,82,96.8543,27,17.3209,32,10
2024,Columbia,69.4073,118,68.563,115,106.562,146,106.62,167,108.582,268,112.043,300,-5.42303,236,
