Year,h_name,win_perc,division,had_top3_award_player
2006,ANA,0.549,AL WEST,
2006,ARI,0.469,NL WEST,1
2006,ATL,0.488,NL EAST,
2006,BAL,0.432,AL EAST,
2006,BOS,0.531,AL EAST,1
2006,CHA,0.556,AL CENTRAL,
2006,CHN,0.407,NL CENTRAL,
2006,CIN,0.494,NL CENTRAL,
2006,CLE,0.481,AL CENTRAL,
2006,COL,0.469,NL WEST,
2006,DET,0.586,AL CENTRAL,1
2006,HOU,0.506,NL CENTRAL,1
2006,KCA,0.383,AL CENTRAL,
2006,LAN,0.543,NL WEST,
2006,MIA,0.481,NL EAST,1
2006,MIL,0.463,NL CENTRAL,
2006,MIN,0.593,AL CENTRAL,1
2006,NYA,0.599,AL EAST,1
2006,NYN,0.599,NL EAST,
2006,OAK,0.574,AL WEST,
2006,PHI,0.525,NL EAST,1
2006,PIT,0.414,NL CENTRAL,
2006,SDN,0.543,NL WEST,1
2006,SEA,0.481,AL WEST,
2006,SFN,0.472,NL EAST,
2006,SLN,0.516,NL CENTRAL,1
2006,TBA,0.377,AL EAST,
2006,TEX,0.494,AL WEST,
2006,TOR,0.537,AL EAST,1
2006,WAS,0.438,NL EAST,1
2007,ANA,0.58,AL WEST,1
2007,ARI,0.556,NL WEST,1
2007,ATL,0.519,NL EAST,
2007,BAL,0.426,AL EAST,
2007,BOS,0.593,AL EAST,1
2007,CHA,0.444,AL CENTRAL,
2007,CHN,0.525,NL CENTRAL,
2007,CIN,0.444,NL CENTRAL,
2007,CLE,0.593,AL CENTRAL,1
2007,COL,0.552,NL WEST,1
2007,DET,0.543,AL CENTRAL,1
2007,HOU,0.451,NL CENTRAL,1
2007,KCA,0.426,AL CENTRAL,1
2007,LAN,0.506,NL WEST,1
2007,MIA,0.438,NL EAST,
2007,MIL,0.512,NL CENTRAL,1
2007,MIN,0.488,AL CENTRAL,
2007,NYA,0.58,AL EAST,1
2007,NYN,0.543,NL EAST,
2007,OAK,0.469,AL WEST,
2007,PHI,0.549,NL EAST,1
2007,PIT,0.42,NL CENTRAL,
2007,SDN,0.546,NL WEST,1
2007,SEA,0.543,AL WEST,
2007,SFN,0.438,NL EAST,
2007,SLN,0.481,NL CENTRAL,
2007,TBA,0.407,AL EAST,1
2007,TEX,0.463,AL WEST,
2007,TOR,0.512,AL EAST,
2007,WAS,0.451,NL EAST,
2008,ANA,0.617,AL WEST,1
2008,ARI,0.506,NL WEST,1
2008,ATL,0.444,NL EAST,1
2008,BAL,0.422,AL EAST,
2008,BOS,0.586,AL EAST,1
2008,CHA,0.546,AL CENTRAL,1
2008,CHN,0.602,NL CENTRAL,1
2008,CIN,0.457,NL CENTRAL,1
2008,CLE,0.5,AL CENTRAL,1
2008,COL,0.457,NL WEST,
2008,DET,0.457,AL CENTRAL,
2008,HOU,0.534,NL CENTRAL,
2008,KCA,0.463,AL CENTRAL,
2008,LAN,0.519,NL WEST,
2008,MIA,0.522,NL EAST,
2008,MIL,0.556,NL CENTRAL,1
2008,MIN,0.54,AL CENTRAL,1
2008,NYA,0.549,AL EAST,
2008,NYN,0.549,NL EAST,1
2008,OAK,0.466,AL WEST,
2008,PHI,0.568,NL EAST,1
2008,PIT,0.414,NL CENTRAL,
2008,SDN,0.389,NL WEST,
2008,SEA,0.377,AL WEST,
2008,SFN,0.444,NL EAST,1
2008,SLN,0.531,NL CENTRAL,1
2008,TBA,0.599,AL EAST,1
2008,TEX,0.488,AL WEST,
2008,TOR,0.531,AL EAST,1
