index,date,day_of_week,day_night,v_name,h_name,h_wins_last_30,h_hr_last_30,h_hits_last_30,h_runs_last_30,h_game_number,attendance
147611,2007-04-01,Sun,N,NYN,SLN,13,1.3333333333333333,8.133333333333333,4.566666666666666,1,45429
147612,2007-04-02,Mon,D,CHN,CIN,13,0.8666666666666667,7.733333333333333,3.3,1,42720
147613,2007-04-02,Mon,D,ARI,COL,15,1.3,10.233333333333333,7.066666666666666,1,48169
147614,2007-04-02,Mon,N,PIT,HOU,18,1.1666666666666667,8.166666666666666,4.266666666666667,1,43803
147615,2007-04-02,Mon,D,LAN,MIL,13,1.0666666666666667,8.333333333333334,4.433333333333334,1,45341
147616,2007-04-02,Mon,D,ATL,PHI,18,1.3666666666666667,10,5.5,1,44742
147617,2007-04-02,Mon,D,MIA,WAS,16,0.7,9.166666666666666,4.766666666666667,1,40389
147618,2007-04-02,Mon,N,TEX,ANA,20,1.0333333333333334,9.5,4.133333333333334,1,43906
147619,2007-04-02,Mon,D,CLE,CHA,12,1.2333333333333334,8.7,4.166666666666667,1,38088
147620,2007-04-02,Mon,D,TOR,DET,13,1.4666666666666666,9.333333333333334,5.533333333333333,1,44297
147621,2007-04-02,Mon,D,BOS,KCA,15,0.7333333333333333,9.833333333333334,5.066666666666666,1,41257
147622,2007-04-02,Mon,N,BAL,MIN,19,0.8333333333333334,10.233333333333333,4.8,1,48711
147623,2007-04-02,Mon,D,TBA,NYA,18,1.4333333333333333,9.9,6.166666666666667,1,55035
147624,2007-04-02,Mon,D,OAK,SEA,15,1.2333333333333334,10.633333333333333,5.2,1,46003
147625,2007-04-03,Tue,N,ARI,COL,14,1.3,10.1,7,2,20547
147626,2007-04-03,Tue,N,PIT,HOU,17,1.2,8.3,4.3,2,31238
147627,2007-04-03,Tue,N,LAN,MIL,14,1.1,8.5,4.666666666666667,2,22603
147628,2007-04-03,Tue,D,SDN,SFN,11,1.1666666666666667,8.433333333333334,4.7,1,42773
147629,2007-04-03,Tue,N,NYN,SLN,12,1.3,8.133333333333333,4.433333333333334,2,45440
147630,2007-04-03,Tue,N,MIA,WAS,15,0.7,8.966666666666667,4.633333333333334,2,20894
147631,2007-04-03,Tue,N,TEX,ANA,21,1,9.5,4.133333333333334,2,42463
147632,2007-04-03,Tue,N,BAL,MIN,20,0.9,10.533333333333333,5,2,24439
147633,2007-04-03,Tue,N,OAK,SEA,16,1.2666666666666666,10.466666666666667,5.233333333333333,2,25287
147634,2007-04-04,Wed,N,CHN,CIN,14,0.8666666666666667,7.433333333333334,3.3,2,25965
147635,2007-04-04,Wed,D,ARI,COL,15,1.3,10.1,7.033333333333333,3,19352
147636,2007-04-04,Wed,N,PIT,HOU,16,1.2,8.3,4.2,3,25961
147637,2007-04-04,Wed,N,LAN,MIL,15,1.1333333333333333,8.533333333333333,4.7,3,23649
147638,2007-04-04,Wed,N,ATL,PHI,18,1.3666666666666667,9.933333333333334,5.433333333333334,2,41516
147639,2007-04-04,Wed,N,SDN,SFN,11,1.0666666666666667,8.3,4.433333333333334,2,39938
