Year,v_name,v_division
2006,ANA,AL WEST
2006,ARI,NL WEST
2006,ATL,NL EAST
2006,BAL,AL EAST
2006,BOS,AL EAST
2006,CHA,AL CENTRAL
2006,CHN,NL CENTRAL
2006,CIN,NL CENTRAL
2006,CLE,AL CENTRAL
2006,COL,NL WEST
2006,DET,AL CENTRAL
2006,HOU,NL CENTRAL
2006,KCA,AL CENTRAL
2006,LAN,NL WEST
2006,MIA,NL EAST
2006,MIL,NL CENTRAL
2006,MIN,AL CENTRAL
2006,NYA,AL EAST
2006,NYN,NL EAST
2006,OAK,AL WEST
2006,PHI,NL EAST
2006,PIT,NL CENTRAL
2006,SDN,NL WEST
2006,SEA,AL WEST
2006,SFN,NL EAST
2006,SLN,NL CENTRAL
2006,TBA,AL EAST
2006,TEX,AL WEST
2006,TOR,AL EAST
2006,WAS,NL EAST
2007,ANA,AL WEST
2007,ARI,NL WEST
2007,ATL,NL EAST
2007,BAL,AL EAST
2007,BOS,AL EAST
2007,CHA,AL CENTRAL
2007,CHN,NL CENTRAL
2007,CIN,NL CENTRAL
2007,CLE,AL CENTRAL
2007,COL,NL WEST
2007,DET,AL CENTRAL
2007,HOU,NL CENTRAL
2007,KCA,AL CENTRAL
2007,LAN,NL WEST
2007,MIA,NL EAST
2007,MIL,NL CENTRAL
2007,MIN,AL CENTRAL
2007,NYA,AL EAST
2007,NYN,NL EAST
2007,OAK,AL WEST
2007,PHI,NL EAST
2007,PIT,NL CENTRAL
2007,SDN,NL WEST
2007,SEA,AL WEST
2007,SFN,NL EAST
2007,SLN,NL CENTRAL
2007,TBA,AL EAST
2007,TEX,AL WEST
2007,TOR,AL EAST
2007,WAS,NL EAST
2008,ANA,AL WEST
2008,ARI,NL WEST
2008,ATL,NL EAST
2008,BAL,AL EAST
2008,BOS,AL EAST
2008,CHA,AL CENTRAL
2008,CHN,NL CENTRAL
2008,CIN,NL CENTRAL
2008,CLE,AL CENTRAL
2008,COL,NL WEST
2008,DET,AL CENTRAL
2008,HOU,NL CENTRAL
2008,KCA,AL CENTRAL
2008,LAN,NL WEST
2008,MIA,NL EAST
2008,MIL,NL CENTRAL
2008,MIN,AL CENTRAL
2008,NYA,AL EAST
2008,NYN,NL EAST
2008,OAK,AL WEST
2008,PHI,NL EAST
2008,PIT,NL CENTRAL
2008,SDN,NL WEST
2008,SEA,AL WEST
2008,SFN,NL EAST
2008,SLN,NL CENTRAL
2008,TBA,AL EAST
2008,TEX,AL WEST
2008,TOR,AL EAST
2008,WAS,NL EAST
2009,ANA,AL WEST
2009,ARI,NL WEST
2009,ATL,NL EAST
2009,BAL,AL EAST
2009,BOS,AL EAST
2009,CHA,AL CENTRAL
2009,CHN,NL CENTRAL
2009,CIN,NL CENTRAL
2009,CLE,AL CENTRAL
2009,COL,NL WEST
2009,DET,AL CENTRAL
2009,HOU,NL CENTRAL
2009,KCA,AL CENTRAL
2009,LAN,NL WEST
2009,MIA,NL EAST
2009,MIL,NL CENTRAL
2009,MIN,AL CENTRAL
2009,NYA,AL EAST
2009,NYN,NL EAST
2009,OAK,AL WEST
2009,PHI,NL EAST
2009,PIT,NL CENTRAL
2009,SDN,NL WEST
2009,SEA,AL WEST
2009,SFN,NL EAST
2009,SLN,NL CENTRAL
2009,TBA,AL EAST
2009,TEX,AL WEST
2009,TOR,AL EAST
2009,WAS,NL EAST
2010,ANA,AL WEST
2010,ARI,NL WEST
2010,ATL,NL EAST
2010,BAL,AL EAST
2010,BOS,AL EAST
2010,CHA,AL CENTRAL
2010,CHN,NL CENTRAL
2010,CIN,NL CENTRAL
2010,CLE,AL CENTRAL
2010,COL,NL WEST
2010,DET,AL CENTRAL
2010,HOU,NL CENTRAL
2010,KCA,AL CENTRAL
2010,LAN,NL WEST
2010,MIA,NL EAST
2010,MIL,NL CENTRAL
2010,MIN,AL CENTRAL
2010,NYA,AL EAST
2010,NYN,NL EAST
2010,OAK,AL WEST
2010,PHI,NL EAST
2010,PIT,NL CENTRAL
2010,SDN,NL WEST
2010,SEA,AL WEST
2010,SFN,NL EAST
2010,SLN,NL CENTRAL
2010,TBA,AL EAST
2010,TEX,AL WEST
2010,TOR,AL EAST
2010,WAS,NL EAST
2011,ANA,AL WEST
2011,ARI,NL WEST
2011,ATL,NL EAST
2011,BAL,AL EAST
2011,BOS,AL EAST
2011,CHA,AL CENTRAL
2011,CHN,NL CENTRAL
2011,CIN,NL CENTRAL
2011,CLE,AL CENTRAL
2011,COL,NL WEST
2011,DET,AL CENTRAL
2011,HOU,NL CENTRAL
2011,KCA,AL CENTRAL
2011,LAN,NL WEST
2011,MIA,NL EAST
2011,MIL,NL CENTRAL
2011,MIN,AL CENTRAL
2011,NYA,AL EAST
2011,NYN,NL EAST
2011,OAK,AL WEST
2011,PHI,NL EAST
