Year,v_name,v_win_perc
2006,ANA,0.549
2006,ARI,0.469
2006,ATL,0.488
2006,BAL,0.432
2006,BOS,0.531
2006,CHA,0.556
2006,CHN,0.407
2006,CIN,0.494
2006,CLE,0.481
2006,COL,0.469
2006,DET,0.586
2006,HOU,0.506
2006,KCA,0.383
2006,LAN,0.543
2006,MIA,0.481
2006,MIL,0.463
2006,MIN,0.593
2006,NYA,0.599
2006,NYN,0.599
2006,OAK,0.574
2006,PHI,0.525
2006,PIT,0.414
2006,SDN,0.543
2006,SEA,0.481
2006,SFN,0.472
2006,SLN,0.516
2006,TBA,0.377
2006,TEX,0.494
2006,TOR,0.537
2006,WAS,0.438
2007,ANA,0.58
2007,ARI,0.556
2007,ATL,0.519
2007,BAL,0.426
2007,BOS,0.593
2007,CHA,0.444
2007,CHN,0.525
2007,CIN,0.444
2007,CLE,0.593
2007,COL,0.552
2007,DET,0.543
2007,HOU,0.451
2007,KCA,0.426
2007,LAN,0.506
2007,MIA,0.438
2007,MIL,0.512
2007,MIN,0.488
2007,NYA,0.58
2007,NYN,0.543
2007,OAK,0.469
2007,PHI,0.549
2007,PIT,0.42
2007,SDN,0.546
2007,SEA,0.543
2007,SFN,0.438
2007,SLN,0.481
2007,TBA,0.407
2007,TEX,0.463
2007,TOR,0.512
2007,WAS,0.451
2008,ANA,0.617
2008,ARI,0.506
2008,ATL,0.444
2008,BAL,0.422
2008,BOS,0.586
2008,CHA,0.546
2008,CHN,0.602
2008,CIN,0.457
2008,CLE,0.5
2008,COL,0.457
2008,DET,0.457
2008,HOU,0.534
2008,KCA,0.463
2008,LAN,0.519
2008,MIA,0.522
2008,MIL,0.556
2008,MIN,0.54
2008,NYA,0.549
2008,NYN,0.549
2008,OAK,0.466
2008,PHI,0.568
2008,PIT,0.414
2008,SDN,0.389
2008,SEA,0.377
2008,SFN,0.444
2008,SLN,0.531
2008,TBA,0.599
2008,TEX,0.488
2008,TOR,0.531
2008,WAS,0.366
2009,ANA,0.599
2009,ARI,0.432
2009,ATL,0.531
2009,BAL,0.395
2009,BOS,0.586
2009,CHA,0.488
2009,CHN,0.516
2009,CIN,0.481
2009,CLE,0.401
2009,COL,0.568
2009,DET,0.528
2009,HOU,0.457
2009,KCA,0.401
2009,LAN,0.586
2009,MIA,0.537
2009,MIL,0.494
2009,MIN,0.534
2009,NYA,0.636
2009,NYN,0.432
2009,OAK,0.463
2009,PHI,0.574
2009,PIT,0.385
2009,SDN,0.463
2009,SEA,0.525
2009,SFN,0.543
2009,SLN,0.562
2009,TBA,0.519
2009,TEX,0.537
2009,TOR,0.463
2009,WAS,0.364
2010,ANA,0.494
2010,ARI,0.401
2010,ATL,0.562
2010,BAL,0.407
2010,BOS,0.549
2010,CHA,0.543
2010,CHN,0.463
2010,CIN,0.562
2010,CLE,0.426
2010,COL,0.512
2010,DET,0.5
2010,HOU,0.469
2010,KCA,0.414
2010,LAN,0.494
2010,MIA,0.494
2010,MIL,0.475
2010,MIN,0.58
2010,NYA,0.586
2010,NYN,0.488
2010,OAK,0.5
2010,PHI,0.599
2010,PIT,0.352
2010,SDN,0.556
2010,SEA,0.377
2010,SFN,0.568
2010,SLN,0.531
2010,TBA,0.593
2010,TEX,0.556
2010,TOR,0.525
2010,WAS,0.426
2011,ANA,0.531
2011,ARI,0.58
2011,ATL,0.549
2011,BAL,0.426
2011,BOS,0.556
2011,CHA,0.488
2011,CHN,0.438
2011,CIN,0.488
2011,CLE,0.494
2011,COL,0.451
2011,DET,0.586
2011,HOU,0.346
2011,KCA,0.438
2011,LAN,0.509
2011,MIA,0.444
2011,MIL,0.593
2011,MIN,0.389
2011,NYA,0.599
2011,NYN,0.475
2011,OAK,0.457
2011,PHI,0.63
2011,PIT,0.444
2011,SDN,0.438
2011,SEA,0.414
2011,SFN,0.531
2011,SLN,0.556
2011,TBA,0.562
2011,TEX,0.593
2011,TOR,0.5
2011,WAS,0.497
2012,ANA,0.549
2012,ARI,0.5
2012,ATL,0.58
2012,BAL,0.574
2012,BOS,0.426
2012,CHA,0.525
2012,CHN,0.377
2012,CIN,0.599
2012,CLE,0.42
2012,COL,0.395
2012,DET,0.543
2012,HOU,0.34
2012,KCA,0.444
2012,LAN,0.531
2012,MIA,0.426
2012,MIL,0.512
2012,MIN,0.407
2012,NYA,0.586
2012,NYN,0.457
2012,OAK,0.58
2012,PHI,0.5
2012,PIT,0.488
2012,SDN,0.469
2012,SEA,0.463
2012,SFN,0.58
2012,SLN,0.543
2012,TBA,0.556
2012,TEX,0.574
2012,TOR,0.451
2012,WAS,0.605
2013,ANA,0.481
2013,ARI,0.5
2013,ATL,0.593
2013,BAL,0.525
2013,BOS,0.599
2013,CHA,0.389
2013,CHN,0.407
2013,CIN,0.556
2013,CLE,0.568
2013,COL,0.457
2013,DET,0.574
2013,HOU,0.315
2013,KCA,0.531
2013,LAN,0.568
2013,MIA,0.383
2013,MIL,0.457
2013,MIN,0.407
2013,NYA,0.525
2013,NYN,0.457
2013,OAK,0.593
2013,PHI,0.451
2013,PIT,0.58
2013,SDN,0.469
2013,SEA,0.438
2013,SFN,0.469
2013,SLN,0.599
2013,TBA,0.564
2013,TEX,0.558
2013,TOR,0.457
2013,WAS,0.531
2014,ANA,0.605
2014,ARI,0.395
2014,ATL,0.488
2014,BAL,0.593
2014,BOS,0.438
2014,CHA,0.451
2014,CHN,0.451
2014,CIN,0.469
2014,CLE,0.525
2014,COL,0.407
2014,DET,0.556
2014,HOU,0.432
2014,KCA,0.549
2014,LAN,0.58
2014,MIA,0.475
2014,MIL,0.506
2014,MIN,0.432
2014,NYA,0.519
2014,NYN,0.488
2014,OAK,0.543
2014,PHI,0.451
2014,PIT,0.543
2014,SDN,0.475
2014,SEA,0.537
2014,SFN,0.543
2014,SLN,0.556
2014,TBA,0.475
2014,TEX,0.414
2014,TOR,0.512
2014,WAS,0.593
2015,ANA,0.525
2015,ARI,0.488
2015,ATL,0.414
2015,BAL,0.5
2015,BOS,0.481
2015,CHA,0.469
2015,CHN,0.599
2015,CIN,0.395
2015,CLE,0.503
2015,COL,0.42
2015,DET,0.46
2015,HOU,0.531
2015,KCA,0.586
2015,LAN,0.568
2015,MIA,0.438
2015,MIL,0.42
2015,MIN,0.512
2015,NYA,0.537
2015,NYN,0.556
2015,OAK,0.42
2015,PHI,0.389
2015,PIT,0.605
2015,SDN,0.457
2015,SEA,0.469
2015,SFN,0.519
2015,SLN,0.617
2015,TBA,0.494
2015,TEX,0.543
2015,TOR,0.574
2015,WAS,0.512
2016,ANA,0.457
2016,ARI,0.426
2016,ATL,0.422
2016,BAL,0.549
2016,BOS,0.574
2016,CHA,0.481
2016,CHN,0.64
2016,CIN,0.42
2016,CLE,0.584
2016,COL,0.463
2016,DET,0.534
2016,HOU,0.519
2016,KCA,0.5
2016,LAN,0.562
2016,MIA,0.491
2016,MIL,0.451
2016,MIN,0.364
2016,NYA,0.519
2016,NYN,0.537
2016,OAK,0.426
2016,PHI,0.438
2016,PIT,0.484
2016,SDN,0.42
2016,SEA,0.531
2016,SFN,0.537
2016,SLN,0.531
2016,TBA,0.42
2016,TEX,0.586
2016,TOR,0.549
2016,WAS,0.586
